Регион РФ;Административный район;Населённый пункт;Улица;Плановое начало отключения Дата;Плановое начало отключения Время;Плановое восстановление Дата;Плановое восстановление Время;Филиал;РЭС;Комментарий
Ленинградская область;Ломоносовский район;д.Лаголово;;22-09-2023;10:00;22-09-2023;17:00;Южные электрические сети;Красносельский РЭС;ТП-482
Ленинградская область;Всеволожский район;д.Борисова Грива;;22-09-2023;10:00;22-09-2023;17:00;Северные электрические сети;Всеволожский РЭС;
Ленинградская область;Тосненский район;п. Сиголово;Солнечная,  Заречная;22-09-2023;10:00;22-09-2023;17:00;Гатчинские ЭС;Тосненский РЭС;Выполнение замены провода на СИП, и вводов на здания.
Ленинградская область;Тосненский район;д. Сидорово;д.21а;22-09-2023;10:00;22-09-2023;17:00;Гатчинские ЭС;Тосненский РЭС;Выполнение замены провода на СИП, и вводов на здания.
Ленинградская область;Ломоносовский район;д.Пигелево,  д. Кемяряйзи, д.Кемеряйзи,   д.Капорское,  ,  КП Аннинские высоты,  СНТ Колос 2;;22-09-2023;10:00;22-09-2023;20:00;Южные электрические сети;Красносельский РЭС;
Санкт-Петербург;Петроградский район;Санкт-Петербург;ул. Зверинская,  д. 28-30,  д. 32,  д. 34;22-09-2023;10:00;22-09-2023;18:00;Кабельная сеть;Островной РЭС;
Ленинградская область;Лодейнопольский район;д.Новая Слобода;;22-09-2023;10:00;22-09-2023;13:00;Новоладожские ЭС;Лодейнопольский РЭС;
Ленинградская область;Ломоносовский район;ДНП Простоквашино,  ДНП Фаворит;;22-09-2023;10:00;22-09-2023;16:00;Гатчинские ЭС;Ломоносовский РЭС;Плановые работы (Заявка №52027)
Санкт-Петербург;Красногвардейский район;Санкт-Петербург;"М.Блюхера пр.,  д.67/2,  65,  63/2,  67/1,  67/3,  69; пр.Энергетиков,  д.70";22-09-2023;10:00;22-09-2023;20:00;Кабельная сеть;Восточный РЭС;
Ленинградская область;Ломоносовский район;д.Капорское,  д. Кемпелево,  д.Тиммолово,  д.Яльгелево.;;22-09-2023;10:00;22-09-2023;20:00;Южные электрические сети;Красносельский РЭС;
Ленинградская область;Бокситогорский район;д. Костерино;;22-09-2023;10:00;22-09-2023;16:00;Тихвинские ЭС;Бокситогорский РЭС;
Санкт-Петербург;Московский район;Санкт-Петербург;7-й Предпортовый пр. д. 14,  лит. А;22-09-2023;10:00;22-09-2023;16:00;Кабельная сеть;Южный РЭС;
Санкт-Петербург;Пушкинский район;г. Пушкин;Колпинское ш. д. 35А;22-09-2023;10:00;22-09-2023;20:00;Южные электрические сети;Пушкинский РЭС;
Санкт-Петербург;Пушкинский район;Пушкин;Средняя,  д. 22, 15, 3,  Оранжерейная,  д. 6/14,  27/12,  4,  Леонтьевская,  д. 3/7,  11,  18;22-09-2023;10:00;22-09-2023;17:00;Южные электрические сети;Пушкинский РЭС;Леонтьевская, д. 11,18 ночные переключений в период с 22:00 до 07:00  21-22 и 22-23сентября
Ленинградская область;Гатчинский район;д.Хюттелево;;22-09-2023;10:00;22-09-2023;17:00;Южные электрические сети;Красносельский РЭС;ТП-5793
Санкт-Петербург;Пушкинский район;г. Пушкин,  п. Александровская;Волхонское ш. д. 32,  44,  36а,  30,  28,  26,  24,  22,  16,  12,  14а,  18, 20,  38,  40,  42,  46,  48,  50, 46а.;22-09-2023;10:00;22-09-2023;21:00;Южные электрические сети;Пушкинский РЭС;
Ленинградская область;Приозерский район;п.Тракторное;полностью;22-09-2023;10:00;22-09-2023;17:00;Выборгские ЭС;Приозерский РЭС;ф.511-02 ТП-530  яч.ВН-10 ввода ф.511-02 протяжка контактных соединений.
Ленинградская область;Тосненский район;Федоровское ГП;Центральная;22-09-2023;10:00;22-09-2023;16:00;Южные электрические сети;Пушкинский РЭС;
Ленинградская область;Бокситогорский район;д. Васьково,  д.Максимово,  д. Платаново, д. Озеро-Село,  д. Марьино-Село;;22-09-2023;10:00;22-09-2023;13:00;Тихвинские ЭС;Бокситогорский РЭС;
Ленинградская область;Ломоносовский район;д.Новополье,  д.Старые Заводы.;;22-09-2023;10:00;22-09-2023;18:00;Южные электрические сети;Красносельский РЭС;
Ленинградская область;Ломоносовский район;д.Кемеряйзи,  д.Пигелево,  д.Капорское,  СНТ Колос-2,  ТСН Красносельское;;22-09-2023;10:00;22-09-2023;20:00;Южные электрические сети;Красносельский РЭС;
Ленинградская область;Ломоносовский район;д.Кемеряйзи,  д.Пигелево,  д.Капорское,  СНТ Колос-2,  ТСН Красносельское;;22-09-2023;10:00;22-09-2023;20:00;Южные электрические сети;Красносельский РЭС;
Ленинградская область;Тосненский район;п .Тельмана;ш. Красноборское;22-09-2023;10:00;25-09-2023;17:00;Южные электрические сети;Пушкинский РЭС;
Ленинградская область;Бокситогорский район;часть д. Дыми;;22-09-2023;10:00;22-09-2023;15:00;Тихвинские ЭС;Бокситогорский РЭС;
Ленинградская область;Лодейнопольский район;Ветхое Село;;22-09-2023;09:30;22-09-2023;16:00;Новоладожские ЭС;Лодейнопольский РЭС;
Ленинградская область;Бокситогорский район;д.Мозолево-1;;22-09-2023;09:00;22-09-2023;17:00;Тихвинские ЭС;Бокситогорский РЭС;
Ленинградская область;Гатчинский район;д.Горки (рядом д.Мины);;22-09-2023;09:00;22-09-2023;17:00;Гатчинские ЭС;Тосненский РЭС;
Санкт-Петербург;Курортный район;п.Молодежное;Приморское ш,  д.661, Правды ул,  д.3 ,  Правды ул,  д.5 ,  Правды ул,  д.5 лит.А,  пом.4Н,  Правды ул,  д.6А,  Правды ул,  д. участок 1 (восточнее д.4б,  лит.А по ул. Правды),  Приморское Шоссе,  д.659 ,  Пер. Правды,  д.6 ,  Правды ул,  д.5 пом.3-Н,  Правды ул,  д.5 пом.2-Н,  Правды ул,  д.6;22-09-2023;09:00;22-09-2023;20:00;Северные электрические сети;Курортный РЭС;Замена трансформаторов тока
Ленинградская область;Бокситогорский район;д.Золотово;;22-09-2023;09:00;22-09-2023;17:00;Тихвинские ЭС;Бокситогорский РЭС;
Ленинградская область;Всеволожский район;д.Мистолово, д.Корабсельки;;22-09-2023;09:00;22-09-2023;17:00;Северные электрические сети;Сертоловский РЭС;
Ленинградская область;Волосовский район;Волна;;22-09-2023;09:00;22-09-2023;17:00;Кингисеппские ЭС;Кингисеппский РЭС;
Ленинградская область;Бокситогорский район;д.Абрамова Гора;;22-09-2023;09:00;22-09-2023;16:00;Тихвинские ЭС;Бокситогорский РЭС;
Ленинградская область;Лужский район;Гверездно;;22-09-2023;09:00;22-09-2023;17:00;Кингисеппские ЭС;Лужский РЭС;
Ленинградская область;Киришский район;СТ Рассвет;Полностью;22-09-2023;09:00;22-09-2023;17:00;Тихвинские ЭС;Тихвинский РЭС;
Ленинградская область;Тосненский район;г. Любань;жил.дома-ул.Березовая аллея,       жил.дома-ул.Пролетарская, Калинина, Красная, Советская, Луговая                                                         8-е марта, Кирова, Эрджигитова, Урицкого,;22-09-2023;09:00;22-09-2023;18:30;Гатчинские ЭС;Тосненский РЭС;Чистка трассы ВЛ от ДКР
Ленинградская область;Всеволожский район;д.Борисова Грива;;22-09-2023;09:00;22-09-2023;17:00;Северные электрические сети;Всеволожский РЭС;
Ленинградская область;Киришский район;д.Андреево,  д.Багольник;деревня;22-09-2023;09:00;22-09-2023;17:00;Тихвинские ЭС;Тихвинский РЭС;
Ленинградская область;Кингисеппский район;Старое Гарколово,  Новое Гарколово;Забалканская,  Пограничная,  Сиреневая,  база отдыха;22-09-2023;09:00;22-09-2023;17:00;Кингисеппские ЭС;Кингисеппский РЭС;
Ленинградская область;Всеволожский район;д.Борисова Грива;;22-09-2023;09:00;22-09-2023;16:00;Северные электрические сети;Всеволожский РЭС;
Санкт-Петербург;Приморский район (СПб);Лахта,  Ольгино;"Санкт-Петербург,  Лахта тер.,  Колхозная ул,  10; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  10,  1; Санкт-Петербург,  Колхозный пер,  5,  А; Санкт-Петербург,  Лахта тер.,  Совхозный пер,  4,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  1; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  5; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  6; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  7,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  9,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  11,  2; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  12; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  13; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  14,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  14; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  18; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  19,  1; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  20,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  21; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  22; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  23; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  24,  а,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  25; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  27,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  29; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  31; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  33,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  33; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  4; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  16; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  32; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  10,  1,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  8; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  12,  1,  лит.А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  36,  а; Санкт-Петербург,  Лахта тер.,  Сельский Пер.,  4; Санкт-Петербург,  Лахта тер.,  Сельский Пер.,  6; Санкт-Петербург,  Лахта тер.,  Сельский Пер.,  8; Санкт-Петербург,  Лахта тер.,  Совхозный Пер.,  3; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  уч.48Санкт-Петербург,  Лахта тер.,  Колхозная ул,  уч.2(юго-западнее д.22 лит.А по Колхозной ул.); Санкт-Петербург,  Лахта тер.,  Колхозная ул,  уч.1 (юго-западнее д.22 лит.А по Колхозной ул.); Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  участок 1 (южнее д.10 корп.1 лит.А); Санкт-Петербург,  Лахта тер.,  Колхозная ул,  рядом с д.42-2,  опора №3; Санкт-Петербург,  Лахта тер.,  Станция Лахта; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  в,  ,  лит. А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  42,  1; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  42,  2; Санкт-Петербург,  Лахта тер.,  Совхозный Пер.,  5; Санкт-Петербург,  Лахта тер.,  Колхозный Пер.,  4; Санкт-Петербург,  Лахта тер.,  Колхозный Пер.,  3; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  3; Санкт-Петербург,  Лахта тер.,  Колхозный Пер.,  5; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  15; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  28,  ,  лит. Б; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  а; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  25,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  15,  1,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  17,  2; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  21,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  6,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  11,  2,  А; Санкт-Петербург,  Колхозный пер,  3,  А; Санкт-Петербург,  Лахта тер.,  Совхозный пер,  6,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  17,  2,  А; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  14; Санкт-Петербург,  Лахта тер.,  Совхозный пер,  3,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  28,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  23,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  35,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  20; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  16,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  5,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  24,  а лит.А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  28,  Б; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  б,  лит.А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  22,  А; Санкт-Петербург,  Лахта тер.,  Совхозный пер,  5,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  8,  Б; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  19,  1,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  38,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  б,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  18,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  10,  А; Санкт-Петербург,  Лахта тер.,  Красных Партизан ул,  16,  А; Санкт-Петербург,  Лахта тер.,  Колхозная ул,  30,  а,  А; Санкт-Петербург,  Колхозный пер,  4,  А";22-09-2023;09:00;22-09-2023;17:00;Северные электрические сети;Песочинский РЭС;"Уведомляем Вас о временном прекращение подачи электрической энергии на объекты нежилых и жилых помещений в посёлке Ольгино на 6 часов в период с 21.09.-22.09.203 с 09:00 до 17:00 в связи с технологическим подключением абонента по заявке №22-049970 филиала ПАО «Россети Ленэнерго» СЭС.

Напряжение на объекты будет подаваться по факту завершения работ без предварительного уведомления. На указанный период производства работ энергоснабжаемые объекты считать под напряжением."
Ленинградская область;Киришский район;"Еврейское болото, СТ Бережки,  АЗС-217 ""Киришиавтосервис""";;22-09-2023;09:00;22-09-2023;17:00;Тихвинские ЭС;Тихвинский РЭС;
Ленинградская область;Волосовский район;д. Голубовицы д. Шелково д. Кивалицы д. Добряницы д. Каськово д. Модолицы;;22-09-2023;09:00;22-09-2023;17:00;Гатчинские ЭС;Ломоносовский РЭС;Плановые работы
Ленинградская область;Волховский район;Куколь,  Конец,  Заднево,  Нивы,  Дяглево,  Ежева,  Юрцево,  Монцево,  Великое село,  Хамонтово,  Коскеницы,  Колчаново;Нагорная,  Набережная,  Советская,  Центральная;22-09-2023;09:00;22-09-2023;17:00;Новоладожские ЭС;Волховский РЭС;
Ленинградская область;Волховский район;Кисельня;Телятник (Кисельня),  ск. Двор (Кисельня),  микрорайон Клёники,  Пилорама,  Кисельнинская средняя общеобразовательная школа,  Центральная улица;22-09-2023;09:00;22-09-2023;17:00;Новоладожские ЭС;Волховский РЭС;
Ленинградская область;Тихвинский район;ТП 15-07-07 (Кострино),  д. Воложба (ТП 15-07-10),  д. Городище (ТП 15-07-09),  д. Плёсо (ТП 15-07-08);;22-09-2023;09:00;22-09-2023;18:00;Тихвинские ЭС;Тихвинский РЭС;Отключение в д. Плёсо, д. Воложба, д. Городище будет не более 1 часа, для подключения РИСЭ. В д. Кострино отключение будет на весь период рабочего дня.
Ленинградская область;Ломоносовский район;"СНТ ""Трансмаш""";ч/с и пр.;22-09-2023;08:30;22-09-2023;16:00;Южные электрические сети;Петродворцовый  РЭС;Неотложные работы персоналом ВВР Южный по профилактическому восстановлению РЗА Ф.222-614.
Ленинградская область;Бокситогорский район;д.Забелье Ефимовское с/п;;22-09-2023;06:00;22-09-2023;18:00;Тихвинские ЭС;Бокситогорский РЭС;
Ленинградская область;Тосненский район;п. Рябово;Мысленская,  Восточная,  Заводская,  Набережная,  Заречная;22-09-2023;06:00;22-09-2023;07:00;Гатчинские ЭС;Тосненский РЭС;В связи с производством оперативных переключений по ф.717-07
Ленинградская область;Бокситогорский район;д.Логиново,  д. Курята д.Толсть , д.Бирючево, д.Коргорка, д.Дубровка, д.Забелино, д.Маклаково, д.Селище;д.Климово пилорамы;22-09-2023;04:00;22-09-2023;17:00;Тихвинские ЭС;Бокситогорский РЭС;
Санкт-Петербург;Пушкинский район;г. Пушкин;Саперная. д. 55 к1с1,  к1с2,  к1с3;21-09-2023;22:00;22-09-2023;07:00;Южные электрические сети;Пушкинский РЭС;
Ленинградская область;Волосовский район;Клопицы (частный сектор);население по дороге на Медниково;21-09-2023;13:00;21-09-2023;17:00;Гатчинские ЭС;Ломоносовский РЭС;плановые работы на ТП-8190
Санкт-Петербург;Красногвардейский район;Санкт-Петербург;Революции ш.,  д.102/2,  88 лит.Х;21-09-2023;12:00;21-09-2023;18:00;Кабельная сеть;Восточный РЭС;
Ленинградская область;Гатчинский район;"п.Новинка, д.Новинка, Озерешно, Ольховец, Нестерково, Тарасино, Чаща, Дальний, Воцко, Кремено, Ракитино, СНТ""Новинка"".";;21-09-2023;12:00;21-09-2023;16:00;;;Работы на ПС-35 кВ Новинка.
Санкт-Петербург;Московский район;Санкт-Петербург;7-й Предпортовый пр. д. 1а;21-09-2023;12:00;21-09-2023;17:00;Кабельная сеть;Южный РЭС;
Санкт-Петербург;Фрунзенский район;г. Санкт-Петербург;Бухарестская улица,  дом 96,  литера А.;21-09-2023;11:00;21-09-2023;17:00;Кабельная сеть;Невский РЭС;
Санкт-Петербург;Фрунзенский район;г. Санкт-Петербург;"ул. Будапештская,  д. 45,  лит.А; д. 49,  лит.Б; ,  д. 49,  к.1,  лит.А; д. 51,  лит.А; д. 55,  лит.А; Альпийский пер.,  д. 23,  к.2,  лит.А";21-09-2023;11:00;21-09-2023;17:00;Кабельная сеть;Невский РЭС;
Санкт-Петербург;Невский район;г. Санкт-Петербург;"ул. Бабушкина,  д. 56,  к.1,  к.2,  к.3; д. 58,  к.1,  к.2; д. 60; ул. Леснозаводская,  д. 3";21-09-2023;11:00;21-09-2023;17:00;Кабельная сеть;Невский РЭС;
Санкт-Петербург;Красногвардейский район;Санкт-Петербург;пр.Новочеркасский,  д45к2;21-09-2023;11:00;21-09-2023;13:00;Кабельная сеть;Правобережный РЭС;
Ленинградская область;Всеволожский район;Вартемяги,  Скотное ,  Рапполово,  Кавголово,;;21-09-2023;11:00;21-09-2023;17:00;Северные электрические сети;Сертоловский РЭС;
Санкт-Петербург;Петроградский район;Санкт-Петербург;"Александровский парк,  д. 3Г,  д. 4 к. 5,  пом.1Н; д. 5 лит. А,  Б,  В,  Г,  Д; Кронверкская наб.,  д. 3 лит. А,  д. 3 к.2";21-09-2023;11:00;21-09-2023;13:00;Кабельная сеть;Островной РЭС;кратковременное гашение на 10мин
Ленинградская область;Гатчинский район;Изора,  Лязево,  Протасовка;;21-09-2023;10:30;21-09-2023;18:00;Гатчинские ЭС;Гатчинский РЭС;Ремонт ЛР 10кВ на опоре №81/1 к ТП-1625, кронирование угрожающих деревьев
Санкт-Петербург;Приморский район (СПб);Санкт-Петербург;ул. Стародеревенская д. 5,  ул. Стародеревенская д. 6 к. 1,  ул. Школьная д. 86 к. 2,  ленсвет.;21-09-2023;10:00;21-09-2023;18:00;Кабельная сеть;Западный РЭС;
Санкт-Петербург;Приморский район (СПб);Санкт-Петербург;ул. Нижне-Каменская д. 11,  ул. Нижне-Каменская д. 7 к. 1,  ул. Нижне-Каменская д. 7 к. 2,  Светофор,;21-09-2023;10:00;21-09-2023;17:00;Кабельная сеть;Западный РЭС;
Ленинградская область;Приозерский район;п.Студеное;Лесная;21-09-2023;10:00;21-09-2023;17:00;Выборгские ЭС;Приозерский РЭС;ВЛ-0.4кВ Л-1 от ТП-109 Перетяжка проводов в пролете оп.№5-6
Ленинградская область;Всеволожский район;д.Екатериновка  пилорамма,  автозаправка д. Екатериновка,  ИП Шевцов,  СНТ «Новая Екатериновка»,  СНТ «Грузино-парк»,  СНТ «Долина»,  Индустриальный парк «Екатерининский»,  ООО «Конструктив»;;21-09-2023;10:00;21-09-2023;17:00;Северные электрические сети;Сертоловский РЭС;
Санкт-Петербург;Красносельский район;Красное село;пр. Ленина;21-09-2023;10:00;21-09-2023;17:00;Южные электрические сети;Красносельский РЭС;ТП-407к отключение на 2 час
Санкт-Петербург;Красносельский район;Красное село;пр. Ленина;21-09-2023;10:00;21-09-2023;17:00;Южные электрические сети;Красносельский РЭС;ТП-407к отключение на 2 час
Санкт-Петербург;Всеволожский район;Ржевка;;21-09-2023;10:00;21-09-2023;17:00;Северные электрические сети;Всеволожский РЭС;
Ленинградская область;Всеволожский район;Приютино,  Ковалево;;21-09-2023;10:00;21-09-2023;17:00;Северные электрические сети;Всеволожский РЭС;
Ленинградская область;Тосненский район;п. Сиголово;Солнечная,  Заречная;21-09-2023;10:00;21-09-2023;17:00;Гатчинские ЭС;Тосненский РЭС;Выполнение замены провода на СИП, и вводов на здания.
Ленинградская область;Тосненский район;д. Сидорово;д.21а;21-09-2023;10:00;21-09-2023;17:00;Гатчинские ЭС;Тосненский РЭС;Выполнение замены провода на СИП, и вводов на здания.
Ленинградская область;Тосненский район;д. Сидорово;д.21а;21-09-2023;10:00;21-09-2023;17:00;Гатчинские ЭС;Тосненский РЭС;Выполнение замены провода на СИП, и вводов на здания.
Ленинградская область;Ломоносовский район;д.Пигелево,  д. Кемяряйзи, д.Кемеряйзи,   д.Капорское,  ,  КП Аннинские высоты,  СНТ Колос 2;;21-09-2023;10:00;21-09-2023;20:00;Южные электрические сети;Красносельский РЭС;
Ленинградская область;Ломоносовский район;д.Разбегаево;;21-09-2023;10:00;21-09-2023;17:00;Южные электрические сети;Красносельский РЭС;ТП-492
Ленинградская область;Ломоносовский район;д.Райкузи;;21-09-2023;10:00;21-09-2023;18:00;Южные электрические сети;Красносельский РЭС;ТП-5840, ТП-6396
Ленинградская область;Ломоносовский район;п.Виллози.;;21-09-2023;10:00;21-09-2023;17:00;Южные электрические сети;Красносельский РЭС;ТП-516
Ленинградская область;Ломоносовский район;п. Аннино.;;21-09-2023;10:00;21-09-2023;17:00;Южные электрические сети;Красносельский РЭС;ТП-579
Санкт-Петербург;Василеостровский район;Санкт-Петербург;ул. Наличная,  д. 32 к.1,  пом. 1-5Н;21-09-2023;10:00;21-09-2023;18:00;Кабельная сеть;Островной РЭС;
Ленинградская область;Лодейнопольский район;Рассвет;д. 1,  2,  3,  4;21-09-2023;10:00;21-09-2023;16:00;Новоладожские ЭС;Лодейнопольский РЭС;
Ленинградская область;Лодейнопольский район;д.Зиновий наволок,  Матреновщина;;21-09-2023;10:00;21-09-2023;16:00;Новоладожские ЭС;Лодейнопольский РЭС;
Санкт-Петербург;Красногвардейский район;Санкт-Петербург;М.Блюхера пр.,  д.78 лит.А,  лит.М;21-09-2023;10:00;21-09-2023;18:00;Кабельная сеть;Восточный РЭС;
Санкт-Петербург;Приморский район (СПб);Санкт-Петербург;пр. Авиаконструкторов д. 18 к. 3.;21-09-2023;10:00;21-09-2023;21:00;Кабельная сеть;Западный РЭС;
Ленинградская область;Лужский район;Загорье;;21-09-2023;10:00;22-09-2023;16:00;Кингисеппские ЭС;Лужский РЭС;
Ленинградская область;Лужский район;Загорье;;21-09-2023;10:00;22-09-2023;16:00;Кингисеппские ЭС;Лужский РЭС;
Санкт-Петербург;Пушкинский район;Пушкин;Средняя,  д. 22, 15, 26/8, 24, 13,  Садовая,  д.э 14,  Оранжерейная,  д. 6/14,  27/12,  4;21-09-2023;10:00;21-09-2023;17:00;Южные электрические сети;Пушкинский РЭС;ул. Средняя, д. 13, 26/8, 24, 18, Оранжерейная, д. 27/12 ночные переключений в период с 22:00 до 07:00 20-21 и 21-22 сентября
Санкт-Петербург;Фрунзенский район;Санкт-Петербург;Волковский пр. д. 32;21-09-2023;10:00;21-09-2023;20:00;Кабельная сеть;Южный РЭС;
Санкт-Петербург;Пушкинский район;г. Пушкин,  п. Александровская;Волхонское ш. д. 32,  44,  ,  Ручейный прооехд,  16,  18,  20,  22,  24,  38, 36,  34,  32,  10,  8, 6, 4, 4а, 2, 8, 10,  Рабочий пер.,  д. 17,  Линенградское ш.,  д. 40. 38,  14,  16,  18,  20,  22,  24,  26 , 28;21-09-2023;10:00;21-09-2023;21:00;Южные электрические сети;Пушкинский РЭС;
Ленинградская область;Киришский район;д.Среднее село;Частично;21-09-2023;10:00;21-09-2023;17:00;Тихвинские ЭС;Тихвинский РЭС;
Ленинградская область;Киришский район;д.Среднее село;Частично;21-09-2023;10:00;21-09-2023;17:00;Тихвинские ЭС;Тихвинский РЭС;
Ленинградская область;Тосненский район;Федоровское ГП,;уч. Восточный,  1-й Восточный,  Промышленная,  Оборонная,  Пролетарская,  Техническая,  1-й Оборонный проезд,;21-09-2023;10:00;21-09-2023;17:00;Южные электрические сети;Пушкинский РЭС;
Ленинградская область;Тосненский район;садоводческий массив ижора,  гп. Федоровское,  садоводство Контакт,  садоводство Текстиль,  садоводство Уголек;ул. Южная дорога,  ул. Полевая;21-09-2023;10:00;21-09-2023;16:00;Южные электрические сети;Пушкинский РЭС;
Санкт-Петербург;Петроградский район;Санкт-Петербург;"Яхтенный мост,  с выходом на Крестовский о-в,  в створе Яхтенной ул.; Северная дорога,  д. 15";21-09-2023;10:00;21-09-2023;18:00;Кабельная сеть;Островной РЭС;
Ленинградская область;Ломоносовский район;"д.Кабацкое,  д.Ускуля,  д.Кукушкино,  д. Кузнецы,  д. Б. Коновалово,  ДНП ""Лада"",  ДНП ""Дружное"",  и др.";ч/с промзона и пр.;21-09-2023;10:00;21-09-2023;18:00;Южные электрические сети;Петродворцовый  РЭС;Работы по монтажу опор ВЛ-6кВ, Ф.Гидроприбор-12, от РК-15 в сторону ТП-841П.
Ленинградская область;Киришский район;Будогощь;"Комсомольская,  Кооперативная,  Первомайская,  Кирова,  Октябрьская,  Озерная,  Делегатская,  дома №№ 1-20; Пионерская,  дома №№ 5,  6;";21-09-2023;10:00;21-09-2023;17:00;Тихвинские ЭС;Тихвинский РЭС;
Ленинградская область;Киришский район;Гремячево;частично;21-09-2023;10:00;21-09-2023;17:00;Тихвинские ЭС;Тихвинский РЭС;
Ленинградская область;Гатчинский район;Выра,  Замостье;;21-09-2023;10:00;21-09-2023;18:00;Гатчинские ЭС;Гатчинский РЭС;Замена ЛР-481 оп. 63/3
Ленинградская область;Ломоносовский район;д.Кемеряйзи,  д.Пигелево,  д.Капорское,  СНТ Колос-2,  ТСН Красносельское;;21-09-2023;10:00;21-09-2023;20:00;Южные электрические сети;Красносельский РЭС;
Ленинградская область;Пушкинский район;Пудомяги;;21-09-2023;10:00;21-09-2023;17:00;Южные электрические сети;Пушкинский РЭС;
Ленинградская область;Выборгский район (ЛО);п Майнило,  Ленинское;"СНТ Алакюль,   ДНП Золотая Роща,  Фермерское х-во Алакюль-2,   ДНП Майнила 2,  ДПК ""Созвездие""";21-09-2023;10:00;21-09-2023;17:00;Выборгские ЭС;Рощинский РЭС;
Ленинградская область;Лодейнопольский район;Новая Слобода;;21-09-2023;09:30;21-09-2023;16:30;Новоладожские ЭС;Лодейнопольский РЭС;
Ленинградская область;Лодейнопольский район;Агашово,  Шапша,  Печеницы,  Руссконицы;;21-09-2023;09:30;21-09-2023;16:30;Новоладожские ЭС;Лодейнопольский РЭС;
Ленинградская область;Приозерский район;п.Плодовое часть;Строителей,  Парковая,  ДК, контора совхоза,  КНС,  н/ст, котельная;21-09-2023;09:30;21-09-2023;17:00;Выборгские ЭС;Приозерский РЭС;ВЛ-10кВ ф.511-01 на ТП-81 текущий ремонт ВН-10кВ ввода ф.511-02
